time_iso8601,forks_cumulative
2022-08-26 00:00:00+00:00,2
2022-08-31 00:00:00+00:00,3
2022-09-01 00:00:00+00:00,5
2023-02-17 00:00:00+00:00,6
2023-03-03 00:00:00+00:00,7
2023-04-12 00:00:00+00:00,8
2023-09-12 00:00:00+00:00,9
2024-03-09 00:00:00+00:00,10
