url_path,views_total,views_unique
/Swiple/swiple,74,36
/Swiple/swiple/tree/main/backend,34,12
/Swiple/swiple/blob/ab880ad6f66ce13bd6f6ef3326e76db8180ebb49/backend/app/core/runner.py,27,1
/Swiple/swiple/tree/main/backend/app,22,8
/Swiple/swiple/blob/main/backend/Dockerfile,21,11
/Swiple/swiple/pulls,11,3
/Swiple/swiple/tree/main/frontend,9,5
/Swiple/swiple/blob/ab880ad6f66ce13bd6f6ef3326e76db8180ebb49/backend/app/utils.py,9,1
/Swiple/swiple/tree/main/backend/app/core,7,5
/Swiple/swiple/tree/main/frontend/src,6,3
