time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-20 00:00:00+00:00,2.0,2.0,1,1
2024-05-21 00:00:00+00:00,5.0,2.0,36,7
2024-05-22 00:00:00+00:00,1.0,1.0,8,7
2024-05-23 00:00:00+00:00,1.0,1.0,1,1
2024-05-24 00:00:00+00:00,1.0,1.0,5,2
2024-05-25 00:00:00+00:00,5.0,2.0,279,2
2024-05-26 00:00:00+00:00,4.0,3.0,44,3
2024-05-27 00:00:00+00:00,9.0,3.0,8,4
2024-05-28 00:00:00+00:00,4.0,4.0,22,5
2024-05-29 00:00:00+00:00,1.0,1.0,112,8
2024-05-30 00:00:00+00:00,1.0,1.0,3,3
2024-05-31 00:00:00+00:00,1.0,1.0,1,1
2024-06-01 00:00:00+00:00,1.0,1.0,14,3
2024-06-02 00:00:00+00:00,,,2,2
