time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-31 00:00:00+00:00,1,1,1,1
2024-06-01 00:00:00+00:00,1,1,14,3
2024-06-02 00:00:00+00:00,1,1,2,2
2024-06-03 00:00:00+00:00,3,3,9,7
2024-06-04 00:00:00+00:00,3,3,11,6
2024-06-05 00:00:00+00:00,1,1,6,5
2024-06-06 00:00:00+00:00,1,1,8,5
2024-06-07 00:00:00+00:00,5,2,4,3
2024-06-08 00:00:00+00:00,5,3,21,6
2024-06-09 00:00:00+00:00,1,1,8,2
2024-06-10 00:00:00+00:00,1,1,5,4
2024-06-11 00:00:00+00:00,1,1,12,5
2024-06-12 00:00:00+00:00,1,1,4,2
2024-06-13 00:00:00+00:00,2,2,3,2
