time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-22 00:00:00+00:00,6,2,8,5
2023-09-23 00:00:00+00:00,5,2,3,3
2023-09-24 00:00:00+00:00,1,1,15,4
2023-09-25 00:00:00+00:00,5,3,1,1
2023-09-26 00:00:00+00:00,1,1,7,5
2023-09-27 00:00:00+00:00,1,1,23,6
2023-09-28 00:00:00+00:00,3,2,32,5
2023-09-29 00:00:00+00:00,4,2,3,3
2023-09-30 00:00:00+00:00,1,1,4,2
2023-10-01 00:00:00+00:00,1,1,9,4
2023-10-02 00:00:00+00:00,4,4,4,3
2023-10-03 00:00:00+00:00,1,1,45,9
2023-10-04 00:00:00+00:00,1,1,121,5
2023-10-05 00:00:00+00:00,3,2,7,2
