url_path,views_total,views_unique
/Swiple/swiple,36,26
/Swiple/swiple/blob/main/backend/Dockerfile,33,10
/Swiple/swiple/tree/main/docs,7,3
/Swiple/swiple/blob/main/backend/main.py,5,2
/Swiple/swiple/tree/main/backend,5,2
/Swiple/swiple/blob/main/docker-compose-non-dev.yaml,4,2
/Swiple/swiple/tree/main/docs/docs,3,1
/Swiple/swiple/tree/main/docs/docs/tutorials,3,1
/Swiple/swiple/blob/35c639a6773c39ef08cbf4becde6ac56f9e82e54/docs/src/components/StripePricingTable/index.js,2,1
/Swiple/swiple/blob/35c639a6773c39ef08cbf4becde6ac56f9e82e54/frontend/src/components/ActionModal.jsx,2,1
