time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-26 00:00:00+00:00,14,9,3,2
2025-10-27 00:00:00+00:00,4,4,2,2
2025-10-28 00:00:00+00:00,20,5,22,3
2025-10-29 00:00:00+00:00,13,8,2,2
2025-10-30 00:00:00+00:00,7,2,1,1
2025-10-31 00:00:00+00:00,1,1,5,4
2025-11-01 00:00:00+00:00,9,4,17,5
2025-11-02 00:00:00+00:00,3,2,3,3
2025-11-03 00:00:00+00:00,23,11,6,3
2025-11-04 00:00:00+00:00,10,7,4,4
2025-11-05 00:00:00+00:00,8,5,1,1
2025-11-06 00:00:00+00:00,6,5,2,2
2025-11-07 00:00:00+00:00,8,6,5,4
2025-11-08 00:00:00+00:00,14,7,1,1
