url_path,views_total,views_unique
/Swiple/swiple/blob/main/backend/Dockerfile,28,8
/Swiple/swiple,19,17
/Swiple/swiple/blob/main/docker/.env-local,6,1
/Swiple/swiple/blob/35c639a6773c39ef08cbf4becde6ac56f9e82e54/backend/app/db/client.py,5,1
/Swiple/swiple/tree/35c639a6773c39ef08cbf4becde6ac56f9e82e54/backend/app/db,5,1
/Swiple/swiple/blob/35c639a6773c39ef08cbf4becde6ac56f9e82e54/backend/app/core/runner.py,4,1
/Swiple/swiple/blob/main/backend/pyproject.toml,4,1
/Swiple/swiple/blob/main/docker/.env,4,1
/Swiple/swiple/blob/35c639a6773c39ef08cbf4becde6ac56f9e82e54/backend/app/models/destinations/email.py,2,1
/Swiple/swiple/blob/main/backend/main.py,2,1
