time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-04 00:00:00+00:00,3.0,3.0,4,3
2023-09-05 00:00:00+00:00,1.0,1.0,4,3
2023-09-06 00:00:00+00:00,3.0,3.0,14,4
2023-09-07 00:00:00+00:00,6.0,4.0,1,1
2023-09-08 00:00:00+00:00,1.0,1.0,6,5
2023-09-09 00:00:00+00:00,2.0,2.0,5,3
2023-09-10 00:00:00+00:00,1.0,1.0,8,3
2023-09-11 00:00:00+00:00,3.0,3.0,28,12
2023-09-12 00:00:00+00:00,3.0,2.0,52,19
2023-09-13 00:00:00+00:00,6.0,3.0,15,6
2023-09-14 00:00:00+00:00,7.0,4.0,16,7
2023-09-15 00:00:00+00:00,4.0,2.0,45,4
2023-09-16 00:00:00+00:00,5.0,3.0,9,4
2023-09-17 00:00:00+00:00,,,8,2
