time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-28 00:00:00+00:00,1.0,1.0,66,8
2023-04-29 00:00:00+00:00,1.0,1.0,2,1
2023-04-30 00:00:00+00:00,4.0,3.0,82,6
2023-05-01 00:00:00+00:00,2.0,2.0,35,8
2023-05-02 00:00:00+00:00,1.0,1.0,11,6
2023-05-03 00:00:00+00:00,2.0,2.0,233,9
2023-05-04 00:00:00+00:00,2.0,2.0,101,9
2023-05-05 00:00:00+00:00,1.0,1.0,93,11
2023-05-06 00:00:00+00:00,3.0,2.0,30,3
2023-05-07 00:00:00+00:00,1.0,1.0,4,2
2023-05-08 00:00:00+00:00,3.0,3.0,26,7
2023-05-09 00:00:00+00:00,2.0,2.0,19,4
2023-05-10 00:00:00+00:00,8.0,5.0,54,17
2023-05-11 00:00:00+00:00,,,52,12
