url_path,views_total,views_unique
/Swiple/swiple,19,17
/Swiple/swiple/tree/main/backend,10,5
/Swiple/swiple/tree/main/backend/tests,9,3
/Swiple/swiple/blob/main/backend/tests/conftest.py,8,3
/Swiple/swiple/blob/main/backend/Dockerfile,7,6
/Swiple/swiple/blob/main/backend/pyproject.toml,7,3
/Swiple/swiple/blob/main/backend/tests/fake_opensearch.py,4,3
/Swiple/swiple/blob/main/backend/tests/test_api_v1_dataset.py,4,3
/Swiple/swiple/blob/main/backend/tests/test_api_v1_datasource.py,4,2
/Swiple/swiple/tree/main/backend/app,3,2
