time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-22 00:00:00+00:00,2,2,12,7
2023-03-23 00:00:00+00:00,1,1,4,3
2023-03-24 00:00:00+00:00,2,2,6,5
2023-03-25 00:00:00+00:00,3,3,4,3
2023-03-26 00:00:00+00:00,66,3,84,5
2023-03-27 00:00:00+00:00,22,3,23,6
2023-03-28 00:00:00+00:00,1,1,14,7
2023-03-29 00:00:00+00:00,8,3,43,6
2023-03-30 00:00:00+00:00,36,3,105,7
2023-03-31 00:00:00+00:00,1,1,35,5
2023-04-01 00:00:00+00:00,1,1,7,4
2023-04-02 00:00:00+00:00,21,3,2,2
2023-04-03 00:00:00+00:00,1,1,55,7
2023-04-04 00:00:00+00:00,2,2,44,6
