time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-25 00:00:00+00:00,5.0,3.0,1.0,1.0
2023-09-26 00:00:00+00:00,1.0,1.0,7.0,5.0
2023-09-27 00:00:00+00:00,1.0,1.0,23.0,6.0
2023-09-28 00:00:00+00:00,3.0,2.0,32.0,5.0
2023-09-29 00:00:00+00:00,4.0,2.0,3.0,3.0
2023-09-30 00:00:00+00:00,1.0,1.0,4.0,2.0
2023-10-01 00:00:00+00:00,1.0,1.0,9.0,4.0
2023-10-02 00:00:00+00:00,4.0,4.0,4.0,3.0
2023-10-03 00:00:00+00:00,1.0,1.0,45.0,9.0
2023-10-04 00:00:00+00:00,1.0,1.0,121.0,5.0
2023-10-05 00:00:00+00:00,4.0,3.0,10.0,3.0
2023-10-06 00:00:00+00:00,1.0,1.0,10.0,2.0
2023-10-07 00:00:00+00:00,2.0,2.0,,
2023-10-08 00:00:00+00:00,,,3.0,1.0
