time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-20 00:00:00+00:00,2.0,2.0,28.0,3.0
2023-12-21 00:00:00+00:00,2.0,2.0,3.0,3.0
2023-12-22 00:00:00+00:00,2.0,2.0,14.0,1.0
2023-12-23 00:00:00+00:00,1.0,1.0,3.0,2.0
2023-12-24 00:00:00+00:00,2.0,2.0,3.0,2.0
2023-12-25 00:00:00+00:00,3.0,3.0,15.0,4.0
2023-12-26 00:00:00+00:00,2.0,2.0,1.0,1.0
2023-12-27 00:00:00+00:00,1.0,1.0,7.0,2.0
2023-12-28 00:00:00+00:00,1.0,1.0,3.0,2.0
2023-12-29 00:00:00+00:00,3.0,2.0,1.0,1.0
2023-12-30 00:00:00+00:00,1.0,1.0,,
2023-12-31 00:00:00+00:00,1.0,1.0,,
2024-01-01 00:00:00+00:00,2.0,2.0,2.0,1.0
2024-01-02 00:00:00+00:00,,,66.0,8.0
