time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-14 00:00:00+00:00,1,1,2,1
2023-05-15 00:00:00+00:00,3,2,32,6
2023-05-16 00:00:00+00:00,1,1,198,11
2023-05-17 00:00:00+00:00,4,4,16,6
2023-05-18 00:00:00+00:00,2,2,47,10
2023-05-19 00:00:00+00:00,3,2,57,13
2023-05-20 00:00:00+00:00,1,1,5,4
2023-05-21 00:00:00+00:00,3,2,3,2
2023-05-22 00:00:00+00:00,6,6,101,7
2023-05-23 00:00:00+00:00,1,1,6,4
2023-05-24 00:00:00+00:00,1,1,91,9
2023-05-25 00:00:00+00:00,1,1,127,7
2023-05-26 00:00:00+00:00,1,1,146,9
2023-05-27 00:00:00+00:00,1,1,4,4
