url_path,views_total,views_unique
/Swiple/swiple,22,17
/Swiple/swiple/blob/main/backend/Dockerfile,13,10
/Swiple/swiple/tree/main/backend,3,3
/Swiple/swiple/tree/main,3,2
/Swiple/swiple/blob/35c639a6773c39ef08cbf4becde6ac56f9e82e54/backend/app/celery_worker.py,3,1
/Swiple/swiple/tree/main/docker,3,1
/Swiple/swiple/blob/main/docker-compose-non-dev.yaml,2,2
/Swiple/swiple/blob/main/docker-compose.yaml,2,2
/Swiple/swiple/blob/35c639a6773c39ef08cbf4becde6ac56f9e82e54/backend/app/worker/app.py,2,1
/Swiple/swiple/issues,2,1
