time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-21 00:00:00+00:00,2.0,2.0,4,2
2023-08-22 00:00:00+00:00,1.0,1.0,6,4
2023-08-23 00:00:00+00:00,2.0,2.0,43,4
2023-08-24 00:00:00+00:00,4.0,3.0,10,5
2023-08-25 00:00:00+00:00,2.0,2.0,30,4
2023-08-26 00:00:00+00:00,3.0,3.0,75,4
2023-08-27 00:00:00+00:00,1.0,1.0,7,5
2023-08-28 00:00:00+00:00,4.0,4.0,17,7
2023-08-29 00:00:00+00:00,7.0,6.0,7,4
2023-08-30 00:00:00+00:00,3.0,3.0,4,2
2023-08-31 00:00:00+00:00,4.0,3.0,197,4
2023-09-01 00:00:00+00:00,3.0,2.0,4,4
2023-09-02 00:00:00+00:00,2.0,2.0,2,2
2023-09-03 00:00:00+00:00,,,14,8
