time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-18 00:00:00+00:00,9,5,2,2
2026-01-19 00:00:00+00:00,20,8,1,1
2026-01-20 00:00:00+00:00,13,5,2,2
2026-01-21 00:00:00+00:00,12,8,4,4
2026-01-22 00:00:00+00:00,10,6,1,1
2026-01-23 00:00:00+00:00,8,4,2,2
2026-01-24 00:00:00+00:00,15,7,4,3
2026-01-25 00:00:00+00:00,2,2,0,0
2026-01-26 00:00:00+00:00,10,6,6,1
2026-01-27 00:00:00+00:00,6,6,6,5
2026-01-28 00:00:00+00:00,15,6,4,4
2026-01-29 00:00:00+00:00,9,5,0,0
2026-01-30 00:00:00+00:00,2,2,5,5
2026-01-31 00:00:00+00:00,8,4,2,1
