time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-31 00:00:00+00:00,4,3,197,4
2023-09-01 00:00:00+00:00,3,2,4,4
2023-09-02 00:00:00+00:00,2,2,2,2
2023-09-03 00:00:00+00:00,1,1,15,9
2023-09-04 00:00:00+00:00,3,3,4,3
2023-09-05 00:00:00+00:00,1,1,4,3
2023-09-06 00:00:00+00:00,3,3,14,4
2023-09-07 00:00:00+00:00,6,4,1,1
2023-09-08 00:00:00+00:00,1,1,6,5
2023-09-09 00:00:00+00:00,2,2,5,3
2023-09-10 00:00:00+00:00,1,1,8,3
2023-09-11 00:00:00+00:00,3,3,28,12
2023-09-12 00:00:00+00:00,3,2,52,19
2023-09-13 00:00:00+00:00,1,1,15,6
