url_path,views_total,views_unique
/Swiple/swiple,86,40
/Swiple/swiple/tree/main/backend,55,12
/Swiple/swiple/tree/main/backend/app,39,9
/Swiple/swiple/blob/main/backend/Dockerfile,38,21
/Swiple/swiple/blob/main/backend/app/main.py,17,6
/Swiple/swiple/tree/3e3a2dcb2cf2893c16e35ad46108b36c9d735fa9/backend/tests,17,1
/Swiple/swiple/blob/main/backend/pyproject.toml,16,6
/Swiple/swiple/blob/main/backend/main.py,13,5
/Swiple/swiple/tree/main/backend/app/core,13,3
/Swiple/swiple/tree/main/.github,12,2
