url_path,views_total,views_unique
/Swiple/swiple,52,38
/Swiple/swiple/blob/main/backend/Dockerfile,12,8
/Swiple/swiple/blob/35c639a6773c39ef08cbf4becde6ac56f9e82e54/frontend/src/Auth.jsx,11,2
/Swiple/swiple/tree/main/docs,10,5
/Swiple/swiple/blob/main/backend/app/models/runner.py,8,1
/Swiple/swiple/blob/main/backend/app/models/schedule.py,8,1
/Swiple/swiple/tree/main/backend/app/core,7,2
/Swiple/swiple/blob/main/backend/app/core/runner.py,6,3
/Swiple/swiple/tree/main/backend,6,3
/Swiple/swiple/tree/main/docs/docs,6,3
