time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-19 00:00:00+00:00,3.0,2.0,11.0,5.0
2023-10-20 00:00:00+00:00,2.0,2.0,44.0,6.0
2023-10-21 00:00:00+00:00,2.0,2.0,2.0,1.0
2023-10-22 00:00:00+00:00,1.0,1.0,,
2023-10-23 00:00:00+00:00,4.0,4.0,14.0,3.0
2023-10-24 00:00:00+00:00,2.0,2.0,1.0,1.0
2023-10-25 00:00:00+00:00,1.0,1.0,13.0,3.0
2023-10-26 00:00:00+00:00,1.0,1.0,7.0,4.0
2023-10-27 00:00:00+00:00,1.0,1.0,38.0,16.0
2023-10-28 00:00:00+00:00,2.0,2.0,22.0,2.0
2023-10-29 00:00:00+00:00,1.0,1.0,,
2023-10-30 00:00:00+00:00,3.0,3.0,16.0,8.0
2023-10-31 00:00:00+00:00,1.0,1.0,10.0,2.0
2023-11-01 00:00:00+00:00,,,32.0,3.0
