time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-19 00:00:00+00:00,1,1,3,2
2024-03-20 00:00:00+00:00,1,1,67,3
2024-03-21 00:00:00+00:00,2,2,10,3
2024-03-22 00:00:00+00:00,1,1,9,6
2024-03-23 00:00:00+00:00,2,2,29,5
2024-03-24 00:00:00+00:00,1,1,1,1
2024-03-25 00:00:00+00:00,1,1,27,3
2024-03-26 00:00:00+00:00,1,1,63,8
2024-03-27 00:00:00+00:00,2,2,34,5
2024-03-28 00:00:00+00:00,3,3,12,4
2024-03-29 00:00:00+00:00,1,1,14,8
2024-03-30 00:00:00+00:00,1,1,5,3
2024-03-31 00:00:00+00:00,1,1,4,2
2024-04-01 00:00:00+00:00,3,1,28,4
