time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-05 00:00:00+00:00,1,1,4,3
2023-09-06 00:00:00+00:00,3,3,14,4
2023-09-07 00:00:00+00:00,6,4,1,1
2023-09-08 00:00:00+00:00,1,1,6,5
2023-09-09 00:00:00+00:00,2,2,5,3
2023-09-10 00:00:00+00:00,1,1,8,3
2023-09-11 00:00:00+00:00,3,3,28,12
2023-09-12 00:00:00+00:00,3,2,52,19
2023-09-13 00:00:00+00:00,6,3,15,6
2023-09-14 00:00:00+00:00,7,4,16,7
2023-09-15 00:00:00+00:00,4,2,45,4
2023-09-16 00:00:00+00:00,5,3,9,4
2023-09-17 00:00:00+00:00,5,2,8,2
2023-09-18 00:00:00+00:00,1,1,31,7
