time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-02 00:00:00+00:00,3.0,2.0,5,4
2024-05-03 00:00:00+00:00,1.0,1.0,9,6
2024-05-04 00:00:00+00:00,7.0,3.0,9,1
2024-05-05 00:00:00+00:00,4.0,3.0,42,6
2024-05-06 00:00:00+00:00,3.0,3.0,30,12
2024-05-07 00:00:00+00:00,2.0,2.0,22,7
2024-05-08 00:00:00+00:00,1.0,1.0,35,10
2024-05-09 00:00:00+00:00,5.0,2.0,73,4
2024-05-10 00:00:00+00:00,2.0,2.0,12,8
2024-05-11 00:00:00+00:00,1.0,1.0,36,1
2024-05-12 00:00:00+00:00,6.0,3.0,7,3
2024-05-13 00:00:00+00:00,6.0,3.0,15,6
2024-05-14 00:00:00+00:00,5.0,2.0,40,9
2024-05-15 00:00:00+00:00,,,36,12
