time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-19 00:00:00+00:00,17,6,19,4
2022-11-20 00:00:00+00:00,2,2,15,2
2022-11-21 00:00:00+00:00,4,3,29,3
2022-11-22 00:00:00+00:00,4,3,13,7
2022-11-23 00:00:00+00:00,2,2,69,4
2022-11-24 00:00:00+00:00,4,4,13,6
2022-11-25 00:00:00+00:00,3,3,13,3
2022-11-26 00:00:00+00:00,2,2,6,2
2022-11-27 00:00:00+00:00,3,3,25,2
2022-11-28 00:00:00+00:00,2,2,13,4
2022-11-29 00:00:00+00:00,3,3,123,4
2022-11-30 00:00:00+00:00,6,6,34,5
2022-12-01 00:00:00+00:00,2,2,124,6
2022-12-02 00:00:00+00:00,2,2,11,3
