time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-10 00:00:00+00:00,9,5,2.0,2.0
2025-12-11 00:00:00+00:00,9,5,6.0,2.0
2025-12-12 00:00:00+00:00,14,10,1.0,1.0
2025-12-13 00:00:00+00:00,4,4,4.0,4.0
2025-12-14 00:00:00+00:00,7,3,,
2025-12-15 00:00:00+00:00,12,4,10.0,1.0
2025-12-16 00:00:00+00:00,7,3,1.0,1.0
2025-12-17 00:00:00+00:00,14,6,2.0,2.0
2025-12-18 00:00:00+00:00,6,5,2.0,1.0
2025-12-19 00:00:00+00:00,10,6,1.0,1.0
2025-12-20 00:00:00+00:00,14,6,,
2025-12-21 00:00:00+00:00,12,7,1.0,1.0
2025-12-22 00:00:00+00:00,7,3,1.0,1.0
2025-12-23 00:00:00+00:00,1,1,1.0,1.0
