time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-05 00:00:00+00:00,4,4,11,6
2024-03-06 00:00:00+00:00,1,1,6,5
2024-03-07 00:00:00+00:00,2,2,17,8
2024-03-08 00:00:00+00:00,1,1,1,1
2024-03-09 00:00:00+00:00,2,2,3,2
2024-03-10 00:00:00+00:00,5,2,14,2
2024-03-11 00:00:00+00:00,2,2,36,5
2024-03-12 00:00:00+00:00,1,1,14,9
2024-03-13 00:00:00+00:00,1,1,18,8
2024-03-14 00:00:00+00:00,1,1,36,8
2024-03-15 00:00:00+00:00,1,1,26,3
2024-03-16 00:00:00+00:00,1,1,57,3
2024-03-17 00:00:00+00:00,1,1,3,2
2024-03-18 00:00:00+00:00,1,1,5,3
