time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-26 00:00:00+00:00,1,1,146.0,9.0
2023-05-27 00:00:00+00:00,2,2,4.0,4.0
2023-05-28 00:00:00+00:00,4,3,,
2023-05-29 00:00:00+00:00,4,4,40.0,7.0
2023-05-30 00:00:00+00:00,2,2,24.0,10.0
2023-05-31 00:00:00+00:00,1,1,8.0,3.0
2023-06-01 00:00:00+00:00,1,1,3.0,2.0
2023-06-02 00:00:00+00:00,2,2,4.0,4.0
2023-06-03 00:00:00+00:00,1,1,10.0,2.0
2023-06-04 00:00:00+00:00,1,1,1.0,1.0
2023-06-05 00:00:00+00:00,2,2,4.0,1.0
2023-06-06 00:00:00+00:00,1,1,11.0,7.0
2023-06-07 00:00:00+00:00,1,1,14.0,8.0
2023-06-08 00:00:00+00:00,1,1,9.0,5.0
