url_path,views_total,views_unique
/Swiple/swiple,39,30
/Swiple/swiple/blob/main/backend/Dockerfile,17,6
/Swiple/swiple/blob/35c639a6773c39ef08cbf4becde6ac56f9e82e54/backend/app/api/api_v1/auth_router.py,10,1
/Swiple/swiple/tree/main/backend,7,3
/Swiple/swiple/blob/main/docs/docs/getting-started/quick-start.md,3,1
/Swiple/swiple/tree/main/docs,3,1
/Swiple/swiple/tree/main/docs/docs,3,1
/Swiple/swiple/tree/main/docs/docs/getting-started,3,1
/Swiple/swiple/blob/main/backend/app/opensearch.yaml,2,1
/Swiple/swiple/blob/main/backend/poetry.lock,2,1
