url_path,views_total,views_unique
/Swiple/swiple,59,33
/Swiple/swiple/tree/main/docs,11,5
/Swiple/swiple/tree/main/backend,6,2
/Swiple/swiple/blob/35c639a6773c39ef08cbf4becde6ac56f9e82e54/frontend/src/App.jsx,6,1
/Swiple/swiple/blob/main/frontend/src/components/Layout.jsx,6,1
/Swiple/swiple/tree/main/docs/docs,5,2
/Swiple/swiple/blob/main/backend/Dockerfile,4,2
/Swiple/swiple/blob/35c639a6773c39ef08cbf4becde6ac56f9e82e54/frontend/src/Auth.jsx,4,1
/Swiple/swiple/blob/35c639a6773c39ef08cbf4becde6ac56f9e82e54/frontend/src/Routes.jsx,4,1
/Swiple/swiple/tree/35c639a6773c39ef08cbf4becde6ac56f9e82e54/frontend/src,4,1
